ID No.,Gender,Age (in year),Height (in m),Weight (in Kg)
P1,M,26,1.72,67
P2,F,25,1.7,78
P3,M,22,1.69,65
P4,M,34,1.69,68
P5,M,29,1.62,63.5
P6,F,28,1.67,64
P7,M,30,1.75,85
P8,M,28,1.68,50
P9,M,26,1.72,67
P10,M,29,1.64,71.2
P11,M,31,1.85,87
P12,F,28,1.65,59
P13,F,28,1.6,47
P14,M,28,1.82,89
P15,M,50,1.72,80
P16,F,31,1.7,75
P17,F,32,1.69,67
P18,F,30,1.7,60
P19,M,27,1.7,67
P20,M,26,1.65,60
P21,M,32,1.64,65
P22,F,29,1.56,68
P23,M,24,1.57,52.7
P24,M,26,1.58,65
P25,F,29,1.61,60
P26,F,28,1.61,57
P27,M,33,1.76,75
P28,F,30,1.61,62.2
P29,F,30,1.79,65
P30,M,24,1.7,72
P31,F,24,1.66,59
P32,M,26,1.72,65
P33,F,31,1.72,64
P34,F,24,1.7,58.9
P35,F,28,1.62,54
P36,M,24,1.76,65
P37,M,28,1.65,62
P38,M,31,1.67,68.3
P39,F,27,1.78,70
P40,M,27,1.6,60
